pageurl,eid,mid,event_name,event_org,event_date,event_place,f1pageurl,f2pageurl,f1name,f2name,f1result,f2result,f1fid,f2fid,method,method_d,ref,round,time
/events/ufc-61-bitter-rivals-3910,3910,9,ufc 61 - bitter rivals,ultimate fighting championship,7/8/2006,"mandalay bay events center, las vegas, nevada, united states",/fighter/tim-sylvia-1061,/fighter/andrei-arlovski-270,tim sylvia,andrei arlovski,win,loss,1061,270,decision,unanimous,john mccarthy,5,5:00
/events/ufc-fight-night-9-stevenson-vs-guillard-4682,4682,5,ufc fight night 9 - stevenson vs. guillard,ultimate fighting championship,4/5/2007,"palms casino resort, las vegas, nevada, united states",/fighter/drew-fickett-725,/fighter/keita-nakamura-9572,drew fickett,keita nakamura,win,loss,725,9572,decision,unanimous,steve mazzagatti,3,5:00
/events/ufc-194-aldo-vs-mcgregor-42245,42245,10,ufc 194 - aldo vs. mcgregor,ultimate fighting championship,12/12/2015,"mgm grand garden arena, las vegas, nevada, united states",/fighter/yoel-romero-60762,/fighter/ronaldo-souza-8394,yoel romero,ronaldo souza,win,loss,60762,8394,decision,split,marc goddard,3,5:00
/events/ufc-fight-night-18-condit-vs-kampmann-9448,9448,9,ufc fight night 18 - condit vs. kampmann,ultimate fighting championship,4/1/2009,"sommet center, nashville, tennessee, united states",/fighter/rafael-dos-anjos-11675,/fighter/tyson-griffin-11689,rafael dos anjos,tyson griffin,loss,win,11675,11689,decision,unanimous,mario yamasaki,3,5:00
/events/ufc-the-ultimate-fighter-13-finale-15811,15811,1,ufc - the ultimate fighter 13 finale,ultimate fighting championship,6/4/2011,"palms casino resort, las vegas, nevada, united states",/fighter/reuben-duran-26602,/fighter/francisco-rivera-11908,reuben duran,francisco rivera,win,loss,26602,11908,submission,rear-naked choke,herb dean,3,1:57
/events/ufc-fight-night-30-machida-vs-munoz-31371,31371,5,ufc fight night 30 - machida vs. munoz,ultimate fighting championship,10/26/2013,"phones 4u arena, manchester, greater manchester, england",/fighter/luke-barnatt-56567,/fighter/andrew-craig-63284,luke barnatt,andrew craig,win,loss,56567,63284,submission,rear-naked choke,marc goddard,2,2:12
/events/ufc-live-2-jones-vs-matyushenko-13294,13294,6,ufc live 2 - jones vs. matyushenko,ultimate fighting championship,8/1/2010,"san diego sports arena, san diego, california, united states",/fighter/jacob-volkmann-24765,/fighter/paul-kelly-14028,jacob volkmann,paul kelly,win,loss,24765,14028,decision,unanimous,john mccarthy,3,5:00
/events/ufc-143-diaz-vs-condit-18945,18945,5,ufc 143 - diaz vs. condit,ultimate fighting championship,2/4/2012,"mandalay bay events center, las vegas, nevada, united states",/fighter/alex-caceres-41586,/fighter/edwin-figueroa-22490,alex caceres,edwin figueroa,loss,win,41586,22490,decision,split,herb dean,3,5:00
/events/ufc-79-nemesis-5458,5458,10,ufc 79 - nemesis,ultimate fighting championship,12/29/2007,"mandalay bay events center, las vegas, nevada, united states",/fighter/georges-st-pierre-3500,/fighter/matt-hughes-232,georges st. pierre,matt hughes,win,loss,3500,232,submission,armbar,steve mazzagatti,2,4:54
/events/ufc-fight-night-27-condit-vs-kampmann-2-30211,30211,1,ufc fight night 27 - condit vs. kampmann 2,ultimate fighting championship,8/28/2013,"bankers life fieldhouse, indianapolis, indiana, united states",/fighter/roger-bowling-23052,/fighter/abel-trujillo-17129,roger bowling,abel trujillo,nc,nc,23052,17129,nc,knee to head of grounded fighter,rob hinds,2,4:57
/events/ufc-fight-night-11-thomas-vs-florian-5454,5454,4,ufc fight night 11 - thomas vs. florian,ultimate fighting championship,9/19/2007,"palms casino resort, las vegas, nevada, united states",/fighter/leonard-garcia-2815,/fighter/cole-miller-13133,leonard garcia,cole miller,loss,win,2815,13133,decision,unanimous,steve mazzagatti,3,5:00
/events/ufc-fight-night-73-teixeira-vs-st-preux-42223,42223,2,ufc fight night 73 - teixeira vs. st. preux,ultimate fighting championship,8/8/2015,"bridgestone arena, nashville, tennessee, united states",/fighter/roman-salazar-24790,/fighter/marlon-vera-97179,roman salazar,marlon vera,loss,win,24790,97179,submission,triangle armbar,josh ward,2,2:15
